country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","26-11-2025 13:00:00",12.9135218,77.5950804,PM2.5,62,85,72
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","26-11-2025 13:00:00",13.0270199,77.494094,PM2.5,21,50,34
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","26-11-2025 13:00:00",13.0270199,77.494094,PM10,80,131,108
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","26-11-2025 13:00:00",12.921418,77.502466,NO2,18,23,23
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","26-11-2025 13:00:00",12.990328,77.5431385,PM10,51,52,51
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","26-11-2025 13:00:00",12.990328,77.5431385,NO2,20,21,20
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","26-11-2025 13:00:00",13.0246342,77.5080115,PM10,68,139,114
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","26-11-2025 13:00:00",12.917348,77.622813,NO2,9,14,12
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","26-11-2025 13:00:00",29.695300,77.002700,NO2,6,6,6
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","26-11-2025 13:00:00",27.9002,76.9938,PM10,66,139,107
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","26-11-2025 13:00:00",27.9002,76.9938,OZONE,25,30,27
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","26-11-2025 13:00:00",28.360699,76.936090,NH3,16,19,18
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","26-11-2025 13:00:00",28.360699,76.936090,CO,28,82,42
